MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
43420,650.0,2660.0,590.0,1990.0,320.0,400.0,1110.0,1390.0,170.0,1240.0,1760.0,2960.0,630.0,2440.0,1150.0,120.0,910.0,240.0,5370.0,980.0,3160.0,2350.0
38300,34850.0,62820.0,61300.0,46170.0,20570.0,9270.0,44270.0,81940.0,680.0,72530.0,35550.0,114890.0,25790.0,23950.0,43470.0,8610.0,31570.0,11820.0,190570.0,51120.0,103680.0,58340.0
20700,1410.0,4000.0,2810.0,1320.0,620.0,230.0,3230.0,2680.0,**,3650.0,610.0,7400.0,1240.0,1420.0,2590.0,180.0,2420.0,330.0,8490.0,1480.0,6910.0,1440.0
30020,1130.0,3230.0,2850.0,2120.0,560.0,180.0,2070.0,2890.0,50.0,2310.0,830.0,4720.0,530.0,1350.0,1230.0,180.0,1530.0,410.0,6990.0,1660.0,5000.0,1780.0
17460,38280.0,58020.0,89180.0,48850.0,17110.0,8640.0,36620.0,75970.0,430.0,65930.0,28390.0,97590.0,18200.0,27230.0,24830.0,8500.0,30730.0,12460.0,162040.0,30850.0,92410.0,55150.0
44940,1440.0,1970.0,4080.0,1390.0,,230.0,1710.0,2050.0,**,2850.0,430.0,3670.0,380.0,1140.0,880.0,150.0,1460.0,120.0,4920.0,1580.0,3410.0,980.0
45500,1750.0,3480.0,4040.0,1780.0,620.0,230.0,3960.0,3800.0,130.0,5140.0,360.0,6210.0,420.0,1940.0,1970.0,240.0,1560.0,320.0,8310.0,2220.0,5870.0,1540.0
18020,580.0,1930.0,12690.0,2470.0,590.0,80.0,1780.0,2050.0,,3130.0,970.0,3900.0,**,500.0,990.0,90.0,1150.0,330.0,6260.0,1300.0,3600.0,1870.0
19804,23300.0,35180.0,67790.0,34930.0,12170.0,3610.0,28740.0,52380.0,670.0,53750.0,21400.0,64760.0,27790.0,16020.0,21310.0,**,18620.0,9770.0,103450.0,19070.0,60910.0,38060.0
4800003,4210.0,8850.0,8430.0,3530.0,1100.0,420.0,4880.0,6410.0,740.0,7510.0,1040.0,10270.0,940.0,4120.0,3700.0,560.0,3170.0,640.0,17150.0,3790.0,10860.0,2530.0
4800002,7940.0,21930.0,30400.0,8440.0,3180.0,1250.0,14030.0,14350.0,1200.0,22240.0,1910.0,25280.0,3050.0,7360.0,8040.0,1080.0,7510.0,1570.0,41230.0,13710.0,23980.0,6670.0
4800001,5330.0,16610.0,14610.0,6930.0,1800.0,1910.0,11600.0,9180.0,3010.0,17670.0,1230.0,17050.0,2940.0,6600.0,2660.0,920.0,6140.0,830.0,29950.0,16610.0,16010.0,4850.0
4800006,6960.0,13660.0,10430.0,5520.0,1350.0,1120.0,7210.0,7250.0,760.0,9470.0,890.0,12560.0,2720.0,6580.0,6140.0,600.0,4450.0,700.0,20760.0,11580.0,12880.0,3570.0
4800005,1500.0,5140.0,2370.0,1970.0,640.0,260.0,2600.0,2870.0,550.0,4360.0,320.0,5800.0,440.0,3550.0,3720.0,340.0,1930.0,630.0,8890.0,2760.0,5290.0,1700.0
4800004,7010.0,14450.0,15410.0,6280.0,2420.0,1320.0,8600.0,11070.0,1210.0,11790.0,1420.0,19130.0,1660.0,9340.0,6070.0,1000.0,5720.0,1430.0,29840.0,13640.0,19390.0,5110.0
0600005,1620.0,5700.0,2070.0,3320.0,1350.0,2260.0,2560.0,3250.0,700.0,3220.0,600.0,5370.0,570.0,3150.0,2360.0,170.0,2690.0,550.0,9600.0,3610.0,6370.0,2140.0
0600004,580.0,3260.0,2930.0,1220.0,640.0,370.0,1390.0,960.0,1940.0,3000.0,110.0,2620.0,170.0,670.0,800.0,60.0,860.0,60.0,3900.0,890.0,2310.0,650.0
0600001,1060.0,2830.0,1320.0,1880.0,840.0,830.0,1510.0,2400.0,360.0,1720.0,250.0,3920.0,250.0,2720.0,1730.0,140.0,1900.0,290.0,6180.0,1950.0,4780.0,1170.0
0600003,2320.0,9180.0,4070.0,4960.0,2480.0,1450.0,4500.0,5490.0,2000.0,5330.0,730.0,11220.0,800.0,3480.0,3080.0,490.0,4070.0,580.0,14590.0,3110.0,10680.0,2610.0
0600002,170.0,830.0,340.0,750.0,140.0,430.0,660.0,610.0,40.0,280.0,100.0,1130.0,110.0,480.0,350.0,60.0,1090.0,100.0,1930.0,650.0,2500.0,330.0
2900002,3970.0,9350.0,12760.0,4440.0,1800.0,430.0,5470.0,6960.0,370.0,8120.0,860.0,11460.0,870.0,2980.0,3110.0,320.0,3270.0,850.0,16840.0,3750.0,9440.0,2800.0
2900003,7050.0,11820.0,18090.0,5240.0,2810.0,680.0,8030.0,10450.0,860.0,13870.0,1120.0,16090.0,980.0,3900.0,8910.0,420.0,4350.0,1120.0,22800.0,6090.0,13680.0,3330.0
2900001,4710.0,11710.0,16630.0,5720.0,2660.0,1010.0,7490.0,9450.0,690.0,11650.0,1170.0,16830.0,1500.0,3070.0,5890.0,380.0,5300.0,1460.0,22320.0,5880.0,17240.0,4160.0
2900004,1870.0,4210.0,5700.0,2610.0,900.0,220.0,3210.0,3460.0,480.0,4360.0,1370.0,10270.0,450.0,1620.0,2820.0,180.0,3290.0,1220.0,10490.0,2560.0,9740.0,1600.0
3500003,870.0,2240.0,980.0,1250.0,420.0,670.0,1470.0,1440.0,430.0,1440.0,230.0,2350.0,290.0,1060.0,1500.0,100.0,1030.0,130.0,3770.0,1760.0,2510.0,810.0
3500002,2920.0,9040.0,4860.0,5950.0,1720.0,1070.0,6960.0,5630.0,330.0,9760.0,970.0,13090.0,1610.0,3930.0,4880.0,520.0,4860.0,680.0,19310.0,14410.0,13480.0,3680.0
3500001,2130.0,5700.0,1600.0,2640.0,2030.0,730.0,2330.0,4220.0,140.0,2840.0,380.0,6130.0,460.0,2420.0,5290.0,250.0,2760.0,280.0,9560.0,2590.0,7420.0,1850.0
2100001,4020.0,8950.0,15610.0,5800.0,2010.0,680.0,8660.0,10100.0,420.0,16530.0,1060.0,15000.0,1820.0,2670.0,4380.0,560.0,4850.0,1010.0,21010.0,9670.0,14900.0,3280.0
2100004,3750.0,9010.0,3980.0,3880.0,3160.0,490.0,4830.0,10730.0,120.0,7150.0,480.0,11060.0,810.0,3260.0,2900.0,730.0,2790.0,560.0,15510.0,5380.0,9520.0,2200.0
3500004,120.0,680.0,450.0,930.0,70.0,2590.0,500.0,490.0,,170.0,1340.0,280.0,2480.0,,150.0,**,190.0,130.0,1630.0,530.0,430.0,1320.0
47260,20920.0,45410.0,35160.0,26280.0,11760.0,5540.0,33280.0,43160.0,1010.0,47990.0,22180.0,84820.0,21580.0,18860.0,25100.0,4350.0,23400.0,8230.0,109750.0,36120.0,73270.0,40140.0
